id,name,attype,locate,生命,物理,法术,团队,操作,金币价格,钻石价格,生命值,魔法值,物理攻击,法术强度,物理防御,魔法抗性,暴击,攻击速度,攻击范围,移动速度,背景,,,,,,,,,,,,,,,,,,,,,,
138,克子,近战,防御,9,8,0,8,5,6000,45,568+85,338+42,55+3.2,0+0,15+3.2,30+1.3,0.0+0,0.64+0.03,1.30+0,300+0,你认为是宇宙ＣＱＣ的东西就是宇宙ＣＱＣ。——摘自《好厉害！我的宇宙ＣＱＣ》附：《未放送之宇宙ＣＱＣ不完全收录·续》宇宙ＣＱＣ五九式　·　前进的铁骑宇宙ＣＱＣ百八式　·　大蛇薙宇宙ＣＱＣ蹲防式　·　五百年的威严宇宙ＣＱＣ波纹式　·　究极宇宙ＣＱＣ有德式　·　中二修正拳宇宙ＣＱＣＦＦＦ式　·　异端审判以下内容未流出：宇宙ＣＱＣ克子专用式　·　监Ｘ绑Ｘ偷Ｘ（后面被血挡住了看不清）,,,,,,,,,,,,,,,,,,,,,,
137,巴麻美,远程,物理,7,10,2,6,5,6000,45,560+77,282+39,53+3.3,0+0,15+3.0,30+0.0,0.0+0,0.65+0.03,5.30+0,300+0,神的影子投射在异世界的大陆上，成为平凡的人形。然而在此之前，她已将某件重要的事托付给了某位值得信任的人。什么的投影遇见恶魔的化身时，青色的剑士与红色的枪使降落于永恒之地。“既然有威胁世界的大魔王，还有被囚禁的神，那不是还需要一个拯救世界的勇者才行吗？真没办法，所有就是我啦？”“勇者沙耶加大人吗，听起来完全不可靠。虽然小圆之前只拜托了你，但你还是跟来照看一下吧。话说要吃Pocky吗？”“嚼嚼嚼————总之还是把事件解决为好。恶魔的想法恕我不能认同，如果她无论如何都不愿谢幕的话，就由我们来划下休止符。”,,,,,,,,,,,,,,,,,,,,,,
136,菲特,近战,法系,5,2,10,5,7,6000,45,540+80,380+50,51+3.0,0+0,15+3.0,30+0.0,0.0+0,0.64+0.0.,1.30+0,301+0,"菲特伫立在城市最高处的蓝色传送门前坚定望着漩涡中那一片若有若无未知的世界奈叶，我终于有些明白，当看见朋友流下伤心眼泪的时候，自己的心也会感觉难过，这个时候才觉得你是多么的重要。奈叶，虽然我们分别了，但是我们马上就会见面了，我一定会在那未知的地方找到你，然后一定会再次和你成为这一生最好的朋友。如果这就是命运的话，那就让它指向永恒之地吧！我来了...奈叶，再一次“I will call you name surely,many times.”",,,,,,,,,,,,,,,,,,,,,,
135,魂魄妖梦,近战,物理,6,9,8,5,5,未出售,未出售,560+84,332+42,54+3.4,0+0,17+3.2,30+0.0,0.0+0,0.65+0.03,1.30+0,300+0,红白二色巫女经常消失，回来后获得巨额金钱，绯红恶魔的忠犬神隐，接来怪事不断，妖梦认为不能坐视不管。在优雅的亡灵与间隙妖怪的指引来到了永恒之地寻找到了两名人类，任务完成后妖梦决定在闲暇之余参加永恒之地的战斗，磨练自己的技艺，追上祖父的脚步,,,,,,,,,,,,,,,,,,,,,,
134,黑雪姬,近战,物理,7,9,0,5,7,6000,45,573+83,349+48,53+3.50,0+0.00,15+3.50,30+0.00,0+0.00,65+3.30,130,308,其实在“永恒之地”未被发现的时候，黑雪姬已经在加速世界深处的传送门进入了永恒之地，并且利用加速能力打败了当初称霸永恒之地的所有英雄，最终使制作组决定推翻原有的战斗模式，并把游戏重塑为MOBA世界。春雪被GM绑架入永恒圣地后，黑雪姬义无反顾地闯入了永恒之地，黑雪姬利用自己残余的加速能力在永恒之地大展身手。为了把春雪从先知手上救回来，黑雪姬的目标是打败所有的GM，并且回家养猪,,,,,,,,,,,,,,,,,,,,,,
133,高町奈叶,远程,法系,6,2,10,6,5,6000,45,558 +78,342 +47,51 +3.1,0 +0,15 +3.0,30 +0.0,0,0.63 +0.03,5.00 +0,299 +0,“我一直在寻找的是勇气的含义，然而我无法正视现实，想逃避到梦想和未来。当我伤害别人，却束手无策的时候，唯独只有俯下身来独自瑟瑟发抖的自己。我想学会的是克服这些的意志和力量。我想做哪些力所能及的事，为保护自己所珍视的东西，我一定不会让悲伤和悔恨来结束这次的事件。”奈叶伫立在永恒之地的入口，坚定的望着这一片湛蓝的光说到：“我要找到属于自己的力量，为了我要保护的人！”,,,,,,,,,,,,,,,,,,,,,,
131,四糸乃,远程,法系,6,2,7,9,6,6000,45,550 +76,358 +48,50 +3.0,0 +0,15 +3.0,30 +0.0,0.0 +0,0.66 +0.03,4.80 +0,300 +0,神啊 求求你告诉我吧，明天的我将会去往何处，每每痛楚都化作了冰河，释放出我内心中的温热，你啊，为何露出笑容，明明只留给我背影，燃烧的太阳也已经坠落，我将此泪化雨抱在怀里,,,,,,,,,,,,,,,,,,,,,,
130,鸢一折纸,远程,法系,5,1,8,5,4,6000,45钻,565+76,360+48,53+3.2,0+0,15+3.0,30+0.0,0.0+0,0.66+0.03,5.00+0,300+0,『坠入爱河的胸中 有着花的图案』它是新红娇艳的热情之色与无情的意义不同 有时的恶作剧会让我渴求到忘却的程度奇迹只是用指尖捏造的事物如同要将我们互相融合般一个地 两个地 不断注入感情恋慕的纸鹤 为你而折,,,,,,,,,,,,,,,,,,,,,,
129,尼禄,近战,物理,7,7,0,7,7,6000,45,600+82,270+40,55+3.2,0+0,17+3.5,30+1.3,0.0+0,0.65+0.03,1.3,300+0,永恒之地最近饱受噪音扰民的困扰。据说一个皇帝每天都在开演唱会，一个月开32场演唱会。居民纷纷抗议：“你这暴君！！别唱了！！！我们要睡觉！！”尼禄：“睡你麻痹起来嗨！”抗议者随后就被拖入剧场，“开心”的听起了演唱会。永恒之地今天还是一如既往的核平呢。,,,,,,,,,,,,,,,,,,,,,,
128,伊莉雅,远程,法系,4,1,9,6,5,6000,45,566+77,355+47,53+3.2,0+0,15+3.0,30+0.0,0.0+0,0.66+0.03,5.00+0,298+0,集合了永恒之地众绅士的召唤之力，在杀生丸强大的萝莉控之魂下特招而出--魔法少女伊莉雅dasu~【弾幕は火力だぜ!DA☆ZE】,,,,,,,,,,,,,,,,,,,,,,
127,远坂凛,远程,法系,4,1,7,8,7,6000,45,565+76,360+48,53+3.2,0+0,15+3.0,30+0.0,0.0+0,0.66+0.03,500+0,298+0,远坂凛跑遍了各个城市，寻找她想要的宝石。结果都没有~急的她在地上摩擦，摩擦-摩擦-一不小心就掉到了永恒之地光滑的地板上。【红色的主仆组-------相遇即为补魔】,,,,,,,,,,,,,,,,,,,,,,
126,朝田诗乃,远程,物理,3,9,0,5,5,6000,45,559+74,235+35,52+3,0+0,15+3,30+0,0.0+0,0.66+0.03,5.30+0,258+0,桐人去到永恒之地解救亚丝娜，诗乃无法抑制自己对桐人的感情于是追逐而来——“这一次一定要打中你的心”【这是一段无法言说的X情】,,,,,,,,,,,,,,,,,,,,,,
125,金木研,近战,防御,10,8,0,4,4,未出售,21日出售,566+85,0+0,54+3.2,0+0,15+3.2,30+1.3,0+0,0.64+0.03,1.30+0,305+0,1000-7=？,,,,,,,,,,,,,,,,,,,,,,
124,奇犽,近战,法系,4,3,9,4,5,6000,45,568+77,325+43,55+3.5,0+0,15+3.1,30+0,0+0,0.66+0.03,1.20+0,302,离开世界树之后，奇犽与亚路嘉遇到了大家都很熟悉的“啪叽”一声，来到了永恒大陆。“陪着久不出门的妹妹，在异世界闲逛一段时间也挺不错的，”奇犽想：“什么时候有了回去见一见某人的心情，再试着找找看回去的路吧。”,,,,,,,,,,,,,,,,,,,,,,
123,五河琴里,近战,物理,5,9,0,3,5,6000,45,566+85,318+42,54+3.4,0+0,15+3.2,30+1.3,0+0,0.65+0.03,1.50+0,300+0,即使是思念即使是愿望如果成真的话即使在任何地方也能连接彼此那就来约会吧,,,,,,,,,,,,,,,,,,,,,,
122,美树沙耶加,近战,物理,8,9,0,4,5,6000,45,565+80,330+42,56+3.5,0+0,15+3.1,30+0.0,0+0,066+0.03,1.30+0,301+0,神的影子投射在异世界的大陆上，成为平凡的人形。然而在此之前，她已将某件重要的事托付给了某位值得信任的人。什么的投影遇见恶魔的化身时，青色的剑士与红色的枪使降落于永恒之地。“既然有威胁世界的大魔王，还有被囚禁的神，那不是还需要一个拯救世界的勇者才行吗？真没办法，所有就是我啦？”“勇者沙耶加大人吗，听起来完全不可靠。虽然小圆之前只拜托了你，但你还是跟来照看一下吧。话说要吃Pocky吗？”“嚼嚼嚼————总之还是把事件解决为好。恶魔的想法恕我不能认同，如果她无论如何都不愿谢幕的话，就由我们来划下休止符。”,,,,,,,,,,,,,,,,,,,,,,
121,佐仓杏子,近战,法系,5,3,9,5,4,6000,45,560+81,360+53,55+3.5,0+0,15+3.1,30+0.0,0+0,0.65+0.03,1.50+0,300+0,神的影子投射在异世界的大陆上，成为平凡的人形。然而在此之前，她已将某件重要的事托付给了某位值得信任的人。什么的投影遇见恶魔的化身时，青色的剑士与红色的枪使降落于永恒之地。“既然有威胁世界的大魔王，还有被囚禁的神，那不是还需要一个拯救世界的勇者才行吗？真没办法，所有就是我啦？”“勇者沙耶加大人吗，听起来完全不可靠。虽然小圆之前只拜托了你，但你还是跟来照看一下吧。话说要吃Pocky吗？”“嚼嚼嚼————总之还是把事件解决为好。恶魔的想法恕我不能认同，如果她无论如何都不愿谢幕的话，就由我们来划下休止符。”,,,,,,,,,,,,,,,,,,,,,,
120,两仪式,近战,物理,4,10,0,3,5,6000,45,549+80,0+0,58+3.5,0+0,15+3.0,30+0.0,0.0+0,0.65+0.03,1.30+0,300+0,骨色的半月，街灯深黯。和服的身影漫步而行。“来到了奇怪的地方啊------”世界外部的碎片可以杀死。因果编制的漩涡可以杀死。存在于不存在的事物没有任何差别全都可以杀死。即使是这场卷入无数异世界住民的时空崩毁本身，以这双眼来目视的话，想来也可以轻易抹消。,,,,,,,,,,,,,,,,,,,,,,
119,八云紫,远程,法系,4,1,9,5,7,未出售,未出售,560+77,357+48,53+3.2,0+0,15+3.0,30+0.0,0.0+0,0.63+0.03,5.00+0,298+0,"“梦想封------”“咲夜的世------”#!%x$(&%&,#x&x&!@#,%$x@#!!!!!!!!!!紫色的■■■，降临永恒之地。",,,,,,,,,,,,,,,,,,,,,,
118,空条承太郎,远程,物理,5,9,0,6,4,6000,45,568+84,0+0,55+3.5,0+0,15+3.2,30+1.3,0.0+0,0.64+0.03,3.49+0,302+0,“天国制造”发动后，旧世界在加速中终结，新的世界诞生了。重启后的世界任然安稳运行，但上一个世界死去的某人，却在宇宙达到终点之时，恰巧遇见因某对神魔的冲突而打开的通道。拥有时间系能力的承太郎，面对时空的裂缝，选择的方法是---------欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉借助纯粹的物理破坏力，拥有最强替身的替身使者穿越了时空与因果的乱流，来到了永恒之地。,,,,,,,,,,,,,,,,,,,,,,
117,岛风,远程,物理,4,9,0,5,5,6000,45,558+77,300+39,54+3.5,0+0,15+3.0,30+0.0,0.0+0,0.67+0.03,530+0,300+0,背景故事？要什么背景故事，看岛风■■的不就好咯？你们是来看故事还是来看岛风的■■的咧？勇敢的提督啊快来与岛风一起在夜战中创造奇迹。我和你们讲，岛风的■■，赞！,,,,,,,,,,,,,,,,,,,,,,
116,奈亚子,近战,法系,4,3,9,4,5,6000,45,562+76,355+48,54+3.3,0+0,15+3.0,30+0.0,0.0+0,0.64+0.03,1.25+0.0,301,你认为是宇宙CQC的东西就是宇宙CQC。-----摘自《好厉害！我的宇宙CQC》附：《未放送之CQC不完全收录》宇宙CQC六式·超究武神霸斩宇宙CQC二十四式·杨氏太极拳宇宙CQC两仪式·空之境界宇宙CQC集换式·卡牌游戏宇宙CQC全新招式·天破侠乱宇宙CQC若斯奇亚等式·外神之数学公式,,,,,,,,,,,,,,,,,,,,,,
115,白岩射手,近战,物理,5,8,0,5,4,6000,45,560+79,319+37,53+3.3,0,15+3.0,30+1.3,0,0.67+0.03,130,300,I know.That's all.I'll be all right.I know.That's why you take me back.I know.That's the price I must pay.I've got to leave nothing to take anymore.我知道，这一切，我会没事。我知道，这是为什么你要带我回去。我知道，这代价是我该付出的吧。我得离开你而没有什么可以被夺走的了。,,,,,,,,,,,,,,,,,,,,,,
114,五更琉璃,远程,法系,6,1,9,7,4,N/A,N/A,560+77,357+48,53+3.2,0,15+3.0,30+0,0,0.63+0.03,500,298,《堕入凡间的魔兽的恸哭》=========序章=========我想到了一部绝妙的关于千叶的堕天圣黑猫的九百页设定集，可惜集卡书里的空间太小，写不下了。,,,,,,,,,,,,,,,,,,,,,,
113,白井黑子,近战,法系,4,1,8,8,6,6000,45,550+80,370+45,53+3.1,0,15+3.0,30+0,0,0.63+0.03,130,300,时空裂缝打开，崩毁的过程中将无数因果编织成漩涡，而其终点是一片未知的大陆。人偶、侦探、暗杀者——异世界的住民们纷纷受到影响，卷入其中。对于黑子而言，这是一次偶然的机遇。超电磁炮扭曲了时空的另一端，“啪叽”一声打开了通往永恒之地的道路。黑子灵机一动，抱起姐姐大人瞬间移动了进去。,,,,,,,,,,,,,,,,,,,,,,
112,梦梦,近战,法系,4,1,9,5,6,6000,45,565+78,352+47,49+3.0,0,14+3.0,30+0.0,0,0.64+0.03,120,296,梨斗再次触发了被动技能，把小暗扑到在地。因为摔的太用力，‘啪叽’一声就穿越了。小暗呼叫了梦梦，共同见证‘乐园’计划的实现。在永恒之地，梦梦见到了拿着扇子、皮鞭和风干香蕉的小暗。从小暗那里了解情况以后，梦梦追着梨斗加入了“神之攻略组”，成为了攻略组的特别顾问。这就是“乐园”计划的下一步--把永恒之地变为梨斗的后宫天堂。,,,,,,,,,,,,,,,,,,,,,,
111,Archer,近战,物理,5,9,3,5,4,6000,45,567+83,325+43,55+3.5,0,15+3.2,30+1.3,0,0.66+0.03,130,301,伦敦，时计塔。披着红色外套的少女独自在静室中实验某种涉及第二法模拟的未知魔术，经历了五个完美无缺的环节，达到了最后的时刻。“遮蔽，熔融，解放。归于银白基石的边缘，光线旋转四十二度，维度与门与门在交界处收缩。”“摘取。振幅。感知。通过理性与无意识交错的长廊，百亿道路的探求者，无限往复的旅行者。”少女把宝石剑泽尔里奇小心地放在魔法阵中央。“转调升高，修拜因奥古的荣耀也升高----”“啪叽”咦？啪叽？“啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊----”少女醒来时，发现手背浮现除了令咒，身后出现了熟悉的红色身影。身旁显现的风景不是伦敦，也不是冬木，或任何一处自己记忆范围内的地域。“关键时刻，又出错了。不愧是我的Master。”----连这种嘲讽的语气都很熟悉，少女心想。迷失于时空的漩涡，少女来到了未知的星球，自身的状态也不知为何回到了第五次圣杯战争时期。抱着“搞不好还有机会回去”的心情，少女与炼铁之英灵一起，展开了永恒之地的旅行。,,,,,,,,,,,,,,,,,,,,,,
110,鹿目圆香,远程,法系,5,7,9,7,5,6000,45,565+78,352+47,53+3.5,0,15+3.0,30+0.0,0,0.67+0.03,530,300,世界外部的碎片如玻璃上的雨水一般渗透进世界之内。存在与不存在的事物一起涌入，令恶魔的囚牢无法继续禁锢神明。时空裂缝打开，崩毁的过程中将无数因果编织成漩涡，而其终点是一片未知的大陆。人偶、侦探、暗杀者--异世界的住民们纷纷受到影响，卷入其中。神的影子投射在这片大陆上，成为平凡的人形，遇见了那位曾经身为恶魔的魔女。圆环之理的法则在这特殊的世界并不通行，为此，魔女试图将神明本身也拉入这片大陆。我已给出我的答案，神明投影的少女心想，但那不是你的愿望。“这一次，就由你来作答吧。”,,,,,,,,,,,,,,,,,,,,,,
109,樱满集,近战,辅助,6,8,4,10,6,6000,45,563+83,312+42,55+3.5,0,15+3.0,30+1.25,0,0.65+0.03,150,300," 三路P K,胜者为王。 虚空宝刀，点击就送。 妹中抽剑，王者之力。 Q W E R,一秒刷爆。 无限刷怪，单倍经验。 独特虚空，由你打造。 我不断地寻找，有祈妹的世界在哪里。",,,,,,,,,,,,,,,,,,,,,,
108,江户川柯南,近战,辅助,4,5,5,10,8,6000,45,574+79,333+45,47+3.0,0,15+3.0,30+1.25,0,0.63+0.03,130,298,非常震惊。是这样的，我是小五郎。昨天地上出现了一道巨型裂缝，柯南掉进去“啪叽”一声就消失了。我也摔伤了腿，就去医院检查。结果腿没什么问题，却从脖子里拔出七百多根针。虽然不知道是怎么回事，但现在我觉得智商大幅回升了。根据我的推理，情况是这样的：柯南就是工藤新一，被某个组织注射了药剂变回小孩。药就是灰原哀做的。那个组织里全是卧底，其实没几个认真干坏事的。阿笠博士不是那个组织的老大。昨天我们遇到的是时空的裂缝，柯南穿越到别的世界了。呼。一下做这么多推理还真有点累呢。,,,,,,,,,,,,,,,,,,,,,,
107,涅普顿,近战,物理,5,9,0,6,5,N/A,45,563+83,312+42,54+3.5,0,15+3.0,30+0,0,0.66+0.031,140,300,在“史书”对时空的操纵影响下，海王星的化身涅普顿携同主场地图“游戏业界”一起降临永恒之地。真主角参战！天灭任索软，涅普保平安。A B C键是正统，圈叉三角留隐患。诚心诚念海王星，涅普涅普平安保。涅普为你做英雄，四十五块莫拒绝。早日摆脱LXL、DXXA，早日获得新生。上网搜 3 0 0英雄有 真 相。,,,,,,,,,,,,,,,,,,,,,,
106,金色之暗,近战,物理,4,9,0,6,6,6000,45,555+78,296+36,54+3.5,0,15+3.0,30+0,0,0.67+0.032,130,295,梨斗再次触发了被动技能，把小暗扑到在地。因为摔的太用力，‘啪叽’一声就穿越了。在永恒之地，小暗被某位格斗家、某位魅魔、某位活了一万年的精灵交到了一些讨厌的知识。当小暗拿着扇子、皮鞭和风干的香蕉回去找梨斗时，发现他已经加入了神大人的‘神之攻略组’。于是小暗呼叫了梦梦，共同见证‘乐园’计划的实现……,,,,,,,,,,,,,,,,,,,,,,
105,纏流子,近战,物理,7,8,3,3,8,6000,45,590+78,0,56+3.5,0,15+3.0,30+1.25,0,0.63+0.03,150,305,,,,,,,,,,,,,,,,,,,,,,,
104,晓美焰,远程,物理,4,9,3,4,7,6000,45,555+78,322+39,55+3.5,0,15+3.0,30+0.0,0,0.64+0.03,500,299,虚假的宇宙，虚假的时间。迷失于恶魔所创造的世界中，曾经身为神明的某人已将身份遗忘，过着平凡的生活。恶魔困住了神与神使，但神使们并未全部进入恶魔的世界，当某位神使击碎了世界的支点，世界外部的碎片就如玻璃上的雨水一般渗透进世界之内。时空中存在与不存在的物体一起涌入，令恶魔的囚笼无法继续禁锢神明。圆环之理重现，神明重新成为规则。即使如此，恶魔也仍将行恶魔之事。从切断真实的长梦中醒来，少女再次拿起了枪。“这一次，一定要拯救你”,,,,,,,,,,,,,,,,,,,,,,
103,立华奏,近战,物理,7,8,2,3,3,6000,45,566+85,318+42,54+3.4,0,15+3.2,30+1.25,0,0.65+0.031,130,300,兵库以北，太阳以西。天使、神父与特级厨师坐一桌，享受着共同爱好的美味。“这，这个味道是！像火在燃烧的辣，深度麻醉般的花椒，加上豆腐本身的滑嫩爽口，这是味觉的波状攻击！”天使。“舌头满足于豆腐的热辣之余，也能同时享受酥爽的口感，以及接踵而来的柔嫩度！好像在舌上演奏着曼妙的旋律，一切都豁然开朗了！”神父。“三种旋律和而不同，演奏出深甜甘美的音色，逐渐化为淡雪，又在雾中消散，慢慢往喉咙深处褪去！简直是豆腐与肉高度和谐的合奏！”特级厨师。“观察记录---食用---浸泡于红色液体内的块状物。”“？”天使。“？”神父。“？”特级厨师。略带机械感的回声，找不到声音的来源。雨，19度。,,,,,,,,,,,,,,,,,,,,,,
102,夜刀神十香,近战,物理,6,8,5,4,5,6000,45,568+83,322+40,55+3.5,0,15+3.2,30+1.25,0,0.64+0.031,140,300,每次对话 每次触碰 每次欢笑都让这份思念渐渐觉醒 决意绝不退让我想这是第一次 这样坦率地只是想陪伴在你身边 因为与你相遇了所以想坚信 DATE A LIVE,,,,,,,,,,,,,,,,,,,,,,
98,小鸟游六花,远程,法系,4,1,9,5,8,6000,45,566+78,0+0,51+3.0,0+0,15+3.0,30+0,0+0,0.64+0.031,1.2,298,其实第一次听说要中二我是拒绝的。因为，你不能让我中二，我就马上去中二。第一我要试一下，因为我不愿意中二完了以后加一些特技上去，眼睛“咣”一下，很柔，很亮。这样姐姐一定会骂我，根本没有这样的眼睛，就证明你那个是美瞳。后来我也经过证实我确实是中二的，我中二了几年，感觉很不错。后来我开邪王真眼的时候也要求他们不要加特技，因为我要让勇太看到，我中二以后是这个样子，你中二以后也会是这个样子！,,,,,,,,,,,,,,,,,,,,,,
96,伊卡洛斯,远程,物理,6,9,0,5,5,6000,45,560(+77),298(+38),53(+3.5),0(+0),15(+3.0),0(+0),0(+0),0.67(+0.031),5.30(+0),300(+0),【娱乐用万能天使观察记录】【※】发现身有白翼的女性，拟判断为天使，讯问后得到了否定的答案。该女性正在食用一种浸泡于红色液体内的块状物（麻婆豆腐）。【※】发现身有金属双翼的女性，拟判断为天使，询问后得到了否定的答案。了解其经历后命名为“永久被俘人形兵器Athena”。然后被打了。【※】发现身有黑翼的女性，拟判断为天使，询问后得到了否定的答案。该女性自名恶魔，并且开始宣传一套据称为“人类感情极致”的危险恋爱观。【※】发现西瓜-----观察记录暂时终止，恢复时间未定。（萃香中枪）,,,,,,,,,,,,,,,,,,,,,,
